Draft Year,Player,Position,Body Fat %,Hand Length (Inches),Hand Width (Inches),Height W/O Shoes,Height W/ Shoes,Standing Reach,Weight (Pounds),Wingspan,Lane Agility Time (Seconds),Shuttle Run (Seconds),Three Quarter Spring (Seconds),Standing Vertical Leap (Inches),Max Vertical Leap (Inches),Max Bench Press (Repetitions)
2011,Chris Singleton,SF,7.40%,9.25,10,6' 7.75'',6' 9'',8' 7.5'',230.2,7' 1'',11.33,-,3.09,30.5,37.5,15
2011,Jamie Skeen,PF,9.80%,8.5,8.5,6' 6.5'',6' 8'',8' 10.5'',241.6,7' 1.25'',12.43,-,3.46,26,30.5,10
2011,Nolan Smith,PG,5.60%,8.5,9.25,6' 1.5'',6' 3.5'',8' 3'',187.6,6' 5.5'',11.05,-,3.17,28.5,34,9
2011,Gregory Smith,PF-C,7.40%,9.75,12,6' 8'',6' 9.25'',8' 10.5'',252.8,7' 2.5'',12.43,-,3.36,29.5,36,17
2011,Malcolm Thomas,PF,5.90%,9.5,10.5,6' 7.5'',6' 8.75'',8' 11.5'',223,7' 0.5'',11.31,-,3.29,32,36.5,3
2011,Isaiah Thomas,PG,6.70%,8.25,9,5' 8.75'',5' 10.25'',7' 7.5'',186,6' 1.75'',10.49,-,3.14,31.5,40,13
2011,Trey Thompkins,PF,15.50%,9.25,9.75,6' 8.5'',6' 9.75'',8' 11.5'',239,7' 1'',11.72,-,3.41,27.5,30.5,15
2011,Tristan Thompson,PF,6.20%,8.75,9.25,6' 7.5'',6' 8.75'',9' 0.5'',227.4,7' 1.25'',10.92,-,3.26,30,35,9
2011,Klay Thompson,SG,8.00%,8.75,9.25,6' 5.75'',6' 7.25'',8' 7.5'',205.6,6' 9'',10.99,-,3.24,26.5,31.5,5
2011,Jeremy Tyler,PF-C,13.40%,9.25,9,6' 9'',6' 10.5'',9' 2.5'',262.4,7' 5'',11.26,-,3.29,28,33.5,10
2011,Nikola Vucevic,PF-C,6.10%,9.25,10.25,6' 10.25'',6' 11.75'',9' 4.5'',259.8,7' 4.5'',12.02,-,3.27,23.5,25,8
2011,Kemba Walker,PG,5.90%,8,9,5' 11.5'',6' 1'',7' 7.5'',184,6' 3.5'',10.87,-,3.16,32,39.5,7
2011,Jordan Williams,PF,12.10%,9.25,10,6' 7.75'',6' 9'',8' 10.5'',247.2,7' 0.25'',12.74,-,3.45,25,30.5,10
2011,Derrick Williams,PF-SF,10.80%,9,9.75,6' 7.25'',6' 8.75'',9' 0'',248.4,7' 1.5'',11.03,-,3.23,29,34.5,19
2012,Quincy Acy,PF,7.10%,9.5,11,6' 6.5'',6' 7.75'',8' 10.5'',223.8,7' 2.75'',10.48,-,3.28,32,37,13
2012,Harrison Barnes,SF-SG,9.60%,9,8.5,6' 7'',6' 8'',8' 5.5'',227.8,6' 11.25'',10.93,-,3.16,38,39.5,15
2012,Will Barton,SG-SF,4.10%,9,9.5,6' 5'',6' 6'',8' 6.5'',174.4,6' 9.75'',12.5,-,3.6,30,34,-
2012,Bradley Beal,SG,6.00%,8.5,9,6' 3.25'',6' 4.75'',8' 4'',201.8,6' 8'',10.95,-,3.28,33,39,8
2012,J'Covan Brown,PG,12.50%,7.75,8.25,6' 1'',6' 2.25'',8' 0'',202.4,6' 5.25'',11.68,-,3.47,26,29.5,3
2012,William Buford,SG-SF,11.30%,8.75,10,6' 4'',6' 5'',8' 6'',214.6,6' 9.5'',11.4,-,3.43,27.5,32.5,8
2012,Jae Crowder,SF,9.00%,9.5,10.5,6' 4.75'',6' 6.5'',8' 3.5'',241.2,6' 9.25'',11.45,-,3.37,31,34.5,20
